"","sample_id","cluster","M1_layer","MTG_layer_transfer"
"M1_SM-GE94U_S020_E1-50","SM-GE94U_S020_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L5"
"M1_SM-GE94U_S021_E1-50","SM-GE94U_S021_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE94U_S023_E1-50","SM-GE94U_S023_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE94U_S025_E1-50","SM-GE94U_S025_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE94U_S026_E1-50","SM-GE94U_S026_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE94U_S030_E1-50","SM-GE94U_S030_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE94U_S031_E1-50","SM-GE94U_S031_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE94V_S178_E1-50","SM-GE94V_S178_E1-50","Exc L5-6 FEZF2 CFTR","L6","L5"
"M1_SM-GE94V_S179_E1-50","SM-GE94V_S179_E1-50","Exc L5-6 FEZF2 CFTR","L6","L5"
"M1_SM-GE94V_S181_E1-50","SM-GE94V_S181_E1-50","Exc L6 THEMIS LINC00343","L6","L6"
"M1_SM-GE94V_S186_E1-50","SM-GE94V_S186_E1-50","Exc L5-6 FEZF2 OR1L8","L6","L6"
"M1_SM-GE94V_S187_E1-50","SM-GE94V_S187_E1-50","Exc L6 FEZF2 KLK7","L6","L5"
"M1_SM-GE94V_S188_E1-50","SM-GE94V_S188_E1-50","Exc L6 FEZF2 KLK7","L6","L5"
"M1_SM-GE94V_S191_E1-50","SM-GE94V_S191_E1-50","Exc L6 THEMIS SNTG2","L6","L5"
"M1_SM-GE94N_S060_E1-50","SM-GE94N_S060_E1-50","Exc L2 LINC00507 GLRA3","L1","L2"
"M1_SM-GE94N_S081_E1-50","SM-GE94N_S081_E1-50","Exc L2 LINC00507 GLRA3","L2","L2"
"M1_SM-GE94N_S083_E1-50","SM-GE94N_S083_E1-50","Exc L2 LINC00507 GLRA3","L2","L2"
"M1_SM-GE94N_S084_E1-50","SM-GE94N_S084_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94N_S085_E1-50","SM-GE94N_S085_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94N_S086_E1-50","SM-GE94N_S086_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94N_S089_E1-50","SM-GE94N_S089_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94N_S091_E1-50","SM-GE94N_S091_E1-50","Exc L2 LINC00507 GLRA3","L2","L2"
"M1_SM-GE94N_S092_E1-50","SM-GE94N_S092_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94N_S093_E1-50","SM-GE94N_S093_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94N_S094_E1-50","SM-GE94N_S094_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94N_S095_E1-50","SM-GE94N_S095_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94N_S153_E1-50","SM-GE94N_S153_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94N_S154_E1-50","SM-GE94N_S154_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94N_S155_E1-50","SM-GE94N_S155_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94N_S156_E1-50","SM-GE94N_S156_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE94N_S157_E1-50","SM-GE94N_S157_E1-50","Exc L3-5 RORB RPRM","L3","L5"
"M1_SM-GE94N_S158_E1-50","SM-GE94N_S158_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE94N_S159_E1-50","SM-GE94N_S159_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE94N_S161_E1-50","SM-GE94N_S161_E1-50","Exc L5-6 THEMIS TNFAIP6","L3","L5"
"M1_SM-GE94N_S162_E1-50","SM-GE94N_S162_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE94N_S163_E1-50","SM-GE94N_S163_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE94N_S164_E1-50","SM-GE94N_S164_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE94N_S166_E1-50","SM-GE94N_S166_E1-50","Exc L2-3 RORB CCDC68","L3","L4"
"M1_SM-GE94N_S169_E1-50","SM-GE94N_S169_E1-50","Exc L3 RORB OTOGL","L3","L5"
"M1_SM-GE94N_S170_E1-50","SM-GE94N_S170_E1-50","Exc L3-5 RORB LINC01202","L3","L4"
"M1_SM-GE94N_S171_E1-50","SM-GE94N_S171_E1-50","Exc L3 THEMIS ENPEP","L3","L4"
"M1_SM-GE94N_S175_E1-50","SM-GE94N_S175_E1-50","Exc L3 THEMIS ENPEP","L3","L4"
"M1_SM-GE94N_S177_E1-50","SM-GE94N_S177_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE94N_S178_E1-50","SM-GE94N_S178_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94N_S179_E1-50","SM-GE94N_S179_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94N_S183_E1-50","SM-GE94N_S183_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94N_S186_E1-50","SM-GE94N_S186_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94N_S187_E1-50","SM-GE94N_S187_E1-50","Exc L2-3 RORB PTPN3","L3","L3"
"M1_SM-GE94N_S188_E1-50","SM-GE94N_S188_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94N_S189_E1-50","SM-GE94N_S189_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94N_S190_E1-50","SM-GE94N_S190_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94N_S191_E1-50","SM-GE94N_S191_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94O_S038_E1-50","SM-GE94O_S038_E1-50","Exc L2 LINC00507 GLRA3","L1","L2"
"M1_SM-GE94O_S049_E1-50","SM-GE94O_S049_E1-50","Exc L2-3 RORB PTPN3","L3","L4"
"M1_SM-GE94O_S050_E1-50","SM-GE94O_S050_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE94O_S051_E1-50","SM-GE94O_S051_E1-50","Exc L2-3 RORB PTPN3","L3","L3"
"M1_SM-GE94O_S052_E1-50","SM-GE94O_S052_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94O_S053_E1-50","SM-GE94O_S053_E1-50","Exc L3 RORB OTOGL","L3","L5"
"M1_SM-GE94O_S054_E1-50","SM-GE94O_S054_E1-50","Exc L2-3 RORB CCDC68","L3","L4"
"M1_SM-GE94O_S057_E1-50","SM-GE94O_S057_E1-50","Exc L2-3 RORB PTPN3","L3","L3"
"M1_SM-GE94O_S058_E1-50","SM-GE94O_S058_E1-50","Exc L2-3 RORB PTPN3","L3","L3"
"M1_SM-GE94O_S059_E1-50","SM-GE94O_S059_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94O_S060_E1-50","SM-GE94O_S060_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE94O_S061_E1-50","SM-GE94O_S061_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE94O_S063_E1-50","SM-GE94O_S063_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94O_S067_E1-50","SM-GE94O_S067_E1-50","Exc L3 THEMIS ENPEP","L3","L3"
"M1_SM-GE94O_S069_E1-50","SM-GE94O_S069_E1-50","Exc L3 THEMIS ENPEP","L3","L4"
"M1_SM-GE94O_S070_E1-50","SM-GE94O_S070_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE94O_S074_E1-50","SM-GE94O_S074_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94O_S076_E1-50","SM-GE94O_S076_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94O_S077_E1-50","SM-GE94O_S077_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE94O_S078_E1-50","SM-GE94O_S078_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94O_S079_E1-50","SM-GE94O_S079_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94O_S081_E1-50","SM-GE94O_S081_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94O_S083_E1-50","SM-GE94O_S083_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94O_S084_E1-50","SM-GE94O_S084_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94O_S085_E1-50","SM-GE94O_S085_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94O_S086_E1-50","SM-GE94O_S086_E1-50","Exc L2-3 LINC00507 DSG3","L3","L3"
"M1_SM-GE94O_S087_E1-50","SM-GE94O_S087_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94O_S089_E1-50","SM-GE94O_S089_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94O_S090_E1-50","SM-GE94O_S090_E1-50","Exc L3 LAMP5 CARM1P1","L3","L4"
"M1_SM-GE94O_S091_E1-50","SM-GE94O_S091_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94O_S092_E1-50","SM-GE94O_S092_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94O_S093_E1-50","SM-GE94O_S093_E1-50","Exc L2-3 LINC00507 DSG3","L3","L3"
"M1_SM-GE94O_S094_E1-50","SM-GE94O_S094_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94O_S130_E1-50","SM-GE94O_S130_E1-50","Exc L2 LINC00507 GLRA3","L1","L2"
"M1_SM-GE94O_S136_E1-50","SM-GE94O_S136_E1-50","Exc L2 LAMP5 KCNG3","L1","L2"
"M1_SM-GE94O_S137_E1-50","SM-GE94O_S137_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE94O_S138_E1-50","SM-GE94O_S138_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE94O_S139_E1-50","SM-GE94O_S139_E1-50","Exc L2-3 RORB PTPN3","L3","L4"
"M1_SM-GE94O_S140_E1-50","SM-GE94O_S140_E1-50","Exc L3-5 RORB LINC01202","L3","L5"
"M1_SM-GE94O_S141_E1-50","SM-GE94O_S141_E1-50","Exc L3-5 FEZF2 ASGR2","L3","L5"
"M1_SM-GE94O_S142_E1-50","SM-GE94O_S142_E1-50","Exc L3-5 RORB LINC01202","L3","L5"
"M1_SM-GE94O_S143_E1-50","SM-GE94O_S143_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE94O_S153_E1-50","SM-GE94O_S153_E1-50","Exc L2-3 RORB PTPN3","L3","L3"
"M1_SM-GE94O_S154_E1-50","SM-GE94O_S154_E1-50","Exc L2-3 RORB PTPN3","L3","L3"
"M1_SM-GE94O_S156_E1-50","SM-GE94O_S156_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE94O_S158_E1-50","SM-GE94O_S158_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE94O_S159_E1-50","SM-GE94O_S159_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE94O_S161_E1-50","SM-GE94O_S161_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE94O_S163_E1-50","SM-GE94O_S163_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94O_S165_E1-50","SM-GE94O_S165_E1-50","Exc L2-3 RORB CCDC68","L3","L4"
"M1_SM-GE94O_S166_E1-50","SM-GE94O_S166_E1-50","Exc L2-3 RORB CCDC68","L3","L4"
"M1_SM-GE94O_S167_E1-50","SM-GE94O_S167_E1-50","Exc L3 LAMP5 CARM1P1","L3","L4"
"M1_SM-GE94O_S170_E1-50","SM-GE94O_S170_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L5","L6"
"M1_SM-GE94O_S171_E1-50","SM-GE94O_S171_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L5","L5"
"M1_SM-GE94O_S174_E1-50","SM-GE94O_S174_E1-50","Exc L5 FEZF2 RNF144A-AS1","L5","L5"
"M1_SM-GE94O_S180_E1-50","SM-GE94O_S180_E1-50","Exc L5-6 FEZF2 IFNG-AS1","L5","L5"
"M1_SM-GE94O_S187_E1-50","SM-GE94O_S187_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L5","L6"
"M1_SM-GE94O_S189_E1-50","SM-GE94O_S189_E1-50","Exc L5 THEMIS RGPD6","L5","L6"
"M1_SM-GE94O_S190_E1-50","SM-GE94O_S190_E1-50","Exc L5-6 FEZF2 FILIP1L","L5","L5"
"M1_SM-GE94O_S191_E1-50","SM-GE94O_S191_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L5","L6"
"M1_SM-GE94P_S025_E1-50","SM-GE94P_S025_E1-50","Exc L2 LINC00507 GLRA3","L2","L4"
"M1_SM-GE94P_S036_E1-50","SM-GE94P_S036_E1-50","Exc L2-3 RORB PTPN3","L2","L3"
"M1_SM-GE94P_S047_E1-50","SM-GE94P_S047_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94P_S049_E1-50","SM-GE94P_S049_E1-50","Exc L3 LAMP5 CARM1P1","L3","L4"
"M1_SM-GE94P_S050_E1-50","SM-GE94P_S050_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94P_S051_E1-50","SM-GE94P_S051_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE94P_S052_E1-50","SM-GE94P_S052_E1-50","Exc L2 LINC00507 GLRA3","L3","L4"
"M1_SM-GE94P_S054_E1-50","SM-GE94P_S054_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE94P_S065_E1-50","SM-GE94P_S065_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94P_S066_E1-50","SM-GE94P_S066_E1-50","Exc L2-3 RORB CCDC68","L3","L4"
"M1_SM-GE94P_S067_E1-50","SM-GE94P_S067_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE94P_S070_E1-50","SM-GE94P_S070_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE94P_S071_E1-50","SM-GE94P_S071_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE94P_S073_E1-50","SM-GE94P_S073_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE94P_S074_E1-50","SM-GE94P_S074_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE94P_S084_E1-50","SM-GE94P_S084_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94P_S086_E1-50","SM-GE94P_S086_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94P_S087_E1-50","SM-GE94P_S087_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94P_S091_E1-50","SM-GE94P_S091_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94P_S092_E1-50","SM-GE94P_S092_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94P_S093_E1-50","SM-GE94P_S093_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94P_S094_E1-50","SM-GE94P_S094_E1-50","Exc L2-3 RORB RTKN2","L3","L3"
"M1_SM-GE94P_S095_E1-50","SM-GE94P_S095_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94P_S127_E1-50","SM-GE94P_S127_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94P_S131_E1-50","SM-GE94P_S131_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94P_S132_E1-50","SM-GE94P_S132_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94P_S133_E1-50","SM-GE94P_S133_E1-50","Exc L2 LINC00507 GLRA3","L2","L4"
"M1_SM-GE94P_S135_E1-50","SM-GE94P_S135_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94P_S141_E1-50","SM-GE94P_S141_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94P_S144_E1-50","SM-GE94P_S144_E1-50","Exc L2 LINC00507 GLRA3","L2","L2"
"M1_SM-GE94P_S145_E1-50","SM-GE94P_S145_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE94P_S146_E1-50","SM-GE94P_S146_E1-50","Exc L3-5 RORB LNX2","L3","L5"
"M1_SM-GE94P_S148_E1-50","SM-GE94P_S148_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE94P_S150_E1-50","SM-GE94P_S150_E1-50","Exc L2-3 RORB RTKN2","L3","L4"
"M1_SM-GE94P_S151_E1-50","SM-GE94P_S151_E1-50","Exc L2-3 RORB RTKN2","L3","L3"
"M1_SM-GE94P_S155_E1-50","SM-GE94P_S155_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE94P_S159_E1-50","SM-GE94P_S159_E1-50","Exc L3-5 RORB LINC01202","L3","L5"
"M1_SM-GE94P_S169_E1-50","SM-GE94P_S169_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94P_S170_E1-50","SM-GE94P_S170_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94P_S171_E1-50","SM-GE94P_S171_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94P_S172_E1-50","SM-GE94P_S172_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94P_S173_E1-50","SM-GE94P_S173_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94P_S174_E1-50","SM-GE94P_S174_E1-50","Exc L2-3 LINC00507 DSG3","L3","L3"
"M1_SM-GE94P_S175_E1-50","SM-GE94P_S175_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94P_S177_E1-50","SM-GE94P_S177_E1-50","Exc L5 THEMIS LINC01116","L5","L5"
"M1_SM-GE94P_S179_E1-50","SM-GE94P_S179_E1-50","Exc L5-6 FEZF2 OR1L8","L5","L6"
"M1_SM-GE94P_S180_E1-50","SM-GE94P_S180_E1-50","Exc L5-6 FEZF2 FILIP1L","L5","L5"
"M1_SM-GE94P_S187_E1-50","SM-GE94P_S187_E1-50","Exc L2 LINC00507 GLRA3","L5","L3"
"M1_SM-GE94Q_S033_E1-50","SM-GE94Q_S033_E1-50","Exc L2 LINC00507 GLRA3","L2","L2"
"M1_SM-GE94Q_S038_E1-50","SM-GE94Q_S038_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94Q_S045_E1-50","SM-GE94Q_S045_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94Q_S046_E1-50","SM-GE94Q_S046_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94Q_S047_E1-50","SM-GE94Q_S047_E1-50","Exc L2 LINC00507 GLRA3","L2","L2"
"M1_SM-GE94Q_S049_E1-50","SM-GE94Q_S049_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94Q_S050_E1-50","SM-GE94Q_S050_E1-50","Exc L3-5 RORB LINC01202","L3","L5"
"M1_SM-GE94Q_S051_E1-50","SM-GE94Q_S051_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94Q_S053_E1-50","SM-GE94Q_S053_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94Q_S054_E1-50","SM-GE94Q_S054_E1-50","Exc L2-3 LINC00507 DSG3","L3","L3"
"M1_SM-GE94Q_S055_E1-50","SM-GE94Q_S055_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94Q_S057_E1-50","SM-GE94Q_S057_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94Q_S058_E1-50","SM-GE94Q_S058_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94Q_S059_E1-50","SM-GE94Q_S059_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94Q_S060_E1-50","SM-GE94Q_S060_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94Q_S061_E1-50","SM-GE94Q_S061_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94Q_S062_E1-50","SM-GE94Q_S062_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94Q_S067_E1-50","SM-GE94Q_S067_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94Q_S068_E1-50","SM-GE94Q_S068_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94Q_S069_E1-50","SM-GE94Q_S069_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94Q_S070_E1-50","SM-GE94Q_S070_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94Q_S071_E1-50","SM-GE94Q_S071_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94Q_S081_E1-50","SM-GE94Q_S081_E1-50","Exc L5-6 FEZF2 FILIP1L","L5","L6"
"M1_SM-GE94Q_S093_E1-50","SM-GE94Q_S093_E1-50","Exc L5-6 FEZF2 SH2D1B","L5","L6"
"M1_SM-GE94Q_S094_E1-50","SM-GE94Q_S094_E1-50","Exc L5-6 FEZF2 IFNG-AS1","L5","L5"
"M1_SM-GE94Q_S095_E1-50","SM-GE94Q_S095_E1-50","Exc L5 FEZF2 NREP-AS1","L5","L5"
"M1_SM-GE94Q_S122_E1-50","SM-GE94Q_S122_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94Q_S123_E1-50","SM-GE94Q_S123_E1-50","Exc L2 LINC00507 ATP7B","L2","L2"
"M1_SM-GE94Q_S124_E1-50","SM-GE94Q_S124_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94Q_S125_E1-50","SM-GE94Q_S125_E1-50","Exc L2 LINC00507 GLRA3","L2","L2"
"M1_SM-GE94Q_S127_E1-50","SM-GE94Q_S127_E1-50","Exc L2 LINC00507 GLRA3","L2","L2"
"M1_SM-GE94Q_S131_E1-50","SM-GE94Q_S131_E1-50","Exc L2 LINC00507 GLRA3","L2","L2"
"M1_SM-GE94Q_S137_E1-50","SM-GE94Q_S137_E1-50","Exc L2 LINC00507 GLRA3","L2","L2"
"M1_SM-GE94Q_S138_E1-50","SM-GE94Q_S138_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94Q_S139_E1-50","SM-GE94Q_S139_E1-50","Exc L2 LINC00507 GLRA3","L2","L2"
"M1_SM-GE94Q_S140_E1-50","SM-GE94Q_S140_E1-50","Exc L2-3 LINC00507 DSG3","L2","L3"
"M1_SM-GE94Q_S141_E1-50","SM-GE94Q_S141_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94Q_S142_E1-50","SM-GE94Q_S142_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94Q_S143_E1-50","SM-GE94Q_S143_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE94Q_S145_E1-50","SM-GE94Q_S145_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94Q_S146_E1-50","SM-GE94Q_S146_E1-50","Exc L2-3 LINC00507 DSG3","L3","L3"
"M1_SM-GE94Q_S147_E1-50","SM-GE94Q_S147_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94Q_S148_E1-50","SM-GE94Q_S148_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94Q_S149_E1-50","SM-GE94Q_S149_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94Q_S150_E1-50","SM-GE94Q_S150_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94Q_S151_E1-50","SM-GE94Q_S151_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94Q_S153_E1-50","SM-GE94Q_S153_E1-50","Exc L2-3 LINC00507 DSG3","L3","L3"
"M1_SM-GE94Q_S154_E1-50","SM-GE94Q_S154_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94Q_S155_E1-50","SM-GE94Q_S155_E1-50","Exc L2-3 LINC00507 DSG3","L3","L3"
"M1_SM-GE94Q_S156_E1-50","SM-GE94Q_S156_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94Q_S157_E1-50","SM-GE94Q_S157_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94Q_S158_E1-50","SM-GE94Q_S158_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94Q_S159_E1-50","SM-GE94Q_S159_E1-50","Exc L2-3 RORB PTPN3","L3","L3"
"M1_SM-GE94Q_S162_E1-50","SM-GE94Q_S162_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94Q_S163_E1-50","SM-GE94Q_S163_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE94Q_S164_E1-50","SM-GE94Q_S164_E1-50","Exc L2-3 LINC00507 DSG3","L3","L3"
"M1_SM-GE94Q_S165_E1-50","SM-GE94Q_S165_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94Q_S166_E1-50","SM-GE94Q_S166_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94Q_S186_E1-50","SM-GE94Q_S186_E1-50","Exc L5 FEZF2 PKD2L1","L5","L5"
"M1_SM-GE94Q_S188_E1-50","SM-GE94Q_S188_E1-50","Exc L5-6 FEZF2 CFTR","L5","L5"
"M1_SM-GE94Q_S189_E1-50","SM-GE94Q_S189_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L5","L6"
"M1_SM-GE94Q_S190_E1-50","SM-GE94Q_S190_E1-50","Exc L5-6 FEZF2 FILIP1L","L5","L5"
"M1_SM-GE94B_S018_E1-50","SM-GE94B_S018_E1-50","Exc L3 THEMIS ENPEP","L3","L4"
"M1_SM-GE94B_S019_E1-50","SM-GE94B_S019_E1-50","Exc L3-5 RORB TNNT2","L3","L5"
"M1_SM-GE94B_S022_E1-50","SM-GE94B_S022_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE94B_S023_E1-50","SM-GE94B_S023_E1-50","Exc L2-3 RORB RTKN2","L3","L3"
