tree_order,Zizen's new cluster_ids,cluster_id,cluster_label,cluster_color,cluster_size,class,class_color,subclass,subclass_color,level2,level2_color,level3,level3_color,integrated,integrated_color,integrated_FINAL,integrated_FINAL_color,integrated_alias,DNAm_cluster_id,DNAm_cluster_name,old_DNAm_cluster_id,old_remap?,old_new cluster?,DNAm_cluster_label,DNAm_cluster_color,ATAC_cluster_id,ATAC_cluster_label,ATAC_cluster_color,VISp_ALM_best_match,Notes
35,35,35,Sst Pvalb Etv1,#D9C566,71,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_7,#FF9F2C,Sst_3,#FFA41C,,10,MGE-Sst_Whrn,MGE-Sst_Whrn,,,Sst Kirrel3,#FFB22B,Sst_Man1a,Sst Man1a,#FFB22B,Sst Nr2f2 Necab1,
36,36,36,Sst Crhr2_1,#BE8652,322,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_10,#BE8652,Sst_3,#FFA41C,,11,MGE-Sst_Srrm4,MGE-Sst_Srrm4,,,Sst Rbp4,#BE8652,Sst_Stk33,Sst Stk33,#BE8652,Sst Crhr2 Efemp1; Sst Crh 4930553C11Rik,
37,37,37,Sst Crhr2_2,#B0993C,214,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_10,#BE8652,Sst_4,#FF9A02,,11,MGE-Sst_Srrm4,MGE-Sst_Srrm4,,,Sst Rbp4,#BE8652,Sst_Stk33,Sst Stk33,#BE8652,Sst Esm1,
38,38,38,Sst Hpse,#CDB115,498,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_8,#CDB115,Sst_3,#FFA41C,,12,MGE-Sst_Daam2,MGE-Sst,,,Sst Pcdh11x,#CDB115,Sst_Man1a,Sst Man1a,#FFB22B,Sst Hpse Cbln4,
39,39,39,Sst Calb2,#D2A328,716,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_13,#D2A328,Sst_3,#FFA41C,,12,MGE-Sst_Daam2,MGE-Sst,,,Sst Pcdh11x,#CDB115,Sst_Man1a,Sst Man1a,#FFB22B,Sst Calb2 Pdlim5,
41,40,41,Sst Pvalb Calb2,#784F14,654,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_17,#784F14,Sst_3,#FFA41C,,8,MGE-Sst_Gfra2,MGE-Sst_Gfra2,,,Sst Scg5,#FF8011,Sst_Man1a,Sst Man1a,#FFB22B,NA,
40,41,40,Sst Pappa,#635821,16,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_13,#D2A328,Sst_3,#FFA41C,,12,MGE-Sst_Daam2,MGE-Sst_Whrn,,,Sst Pcdh11x,#CDB115,Sst_Man1a,Sst Man1a,#FFB22B,Sst Mme Fam114a1; Sst Tac1 Htr1d; Sst Tac1 Tacr3; Sst Calb2 Necab1,
42,42,42,Sst C1ql3_1,#802600,189,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_1,#802600,Sst_5,#E78B00,,13,MGE-Sst_Kcnip4,MGE-Sst_Kcnip4,,,Sst 9630002D21Rik,#802600,Sst_Stk33,Sst Stk33,#BE8652,Sst Rxfp1 Eya1,
43,43,43,Sst C1ql3_2,#8A2B1A,130,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_1,#802600,Sst_6,#CE7B00,,13,MGE-Sst_Kcnip4,MGE-Sst_Kcnip4,,,Sst 9630002D21Rik,#802600,Sst_Stk33,Sst Stk33,#BE8652,Sst Tac2 Tacstd2,
44,44,44,Sst Tac2,#804600,92,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_1,#802600,Sst_6,#CE7B00,,13,MGE-Sst_Kcnip4,MGE-Sst_Kcnip4,,,Sst 9630002D21Rik,#802600,Sst_Stk33,Sst Stk33,#BE8652,Sst Tac2 Tacstd2,
45,45,45,Sst Th_1,#8C6012,59,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_1,#802600,Sst_6,#CE7B00,,13,MGE-Sst_Kcnip4,MGE-Sst_Kcnip4,,,Sst 9630002D21Rik,#802600,Sst_Stk33,Sst Stk33,#BE8652,Sst Rxfp1 Prdm8,
